word,nature,fre
葱,n,1
抱歉,a,1
舌头,n,1
几次,m,1
评价,v,2
凉,a,2
帅哥,nr,1
四个,m,1
条件,n,1
浆,n,1
款,n,1
.......,m,1
切片,n,1
别,d,2
份量,nz,9
钱,n,13
外,f,12
油炸,nw,1
哦,e,8
钟头,n,1
宗～,nw,1
相信,v,1
ok,en,3
从,p,1
第一,m,1
特殊,a,4
手,n,3
方面,n,1
呵,y,7
点量,nw,1
每,r,3
好多,m,5
配送员,nw,1
订单,n,1
个,q,6
她们,r,1
米饭,n,25
葱油,nw,1
应该,v,4
香菇,n,4
十分,d,1
路边,s,1
明天,t,1
大,a,10
越来越,d,6
只是,d,4
果断,ad,1
重辣,nw,6
稍微,d,5
过瘾,a,1
理直气壮,i,1
....,m,1
米饭量,nw,2
上,f,7
一点点,nw,4
而且,c,16
豆皮,nw,1
刚,d,3
料,n,1
鲍,nr,1
那么,r,4
实在,d,2
倒,v,1
掌上,nw,1
出,v,2
炒,v,7
辣味,n,5
购物,v,1
两口,m,1
汤料,nr,1
替,p,1
味道,n,149
们,k,1
几家,m,1
些,q,3
抽动,v,1
其,r,1
速度,n,21
呢,y,11
居然,d,1
老,a,8
剩下,v,1
点饭,nw,1
微博,n,1
然而,c,1
接受,v,2
明明,d,1
小时,n,6
土豆,n,9
豆腐,n,7
四片,m,1
一切,r,2
真,d,6
份,q,4
低,a,1
沒選,nr,1
米,q,3
不行,a,2
第一位,m,1
汤,n,22
外卖,nw,12
餐快,nw,1
不要,d,6
愉快,a,1
没有,v,53
感觉量,nw,2
微辣,nw,10
今天,t,16
洗,v,2
足,a,15
难吃,a,8
做好,v,1
很少,nw,2
剩,v,1
商,n,3
高,a,1
30,m,1
所以,c,2
内,f,1
多多,m,1
餐品,nw,1
黏糊,a,1
勺子,n,4
浪费,v,3
巨,ag,1
菜品,nw,5
这次,r,6
蛮,d,11
入,v,1
少,a,94
香锅,nw,8
棒滴,nw,1
下雨天,n,2
大杂汇,nw,1
过敏,v,1
确实,ad,3
解,v,1
跳,v,1
商家,n,17
均匀,a,2
每次,r,4
准时,ad,2
大爱,nw,1
就,d,92
啦,y,7
不足,a,1
酱香,nw,4
那些,r,1
肥,a,1
打电话,v,12
辣椒,n,12
黄豆芽,n,1
满辣,nr,1
其它,r,1
哪,r,2
要,v,20
顾客,n,3
自我,r,1
多,m,27
帮,v,2
买,v,12
辣豆腐汤,nw,2
忠实,a,1
吗,y,6
迟到,v,1
额,n,1
炸,v,3
一包,m,1
盐,n,9
黄,a,2
评论,n,1
变态,n,2
柴,n,1
觉得,v,4
改善,v,1
奇怪,v,2
一家,n,3
好辣,nw,1
换人,v,1
再,d,11
菜凉,nw,1
一家,m,1
太甜,nw,1
漂亮,a,1
破,v,1
粽子,n,1
让,v,3
