word,nature,fre,不明标签
的,uj,373014,
了,ul,314461,
很,d,200827,
好,a,160790,
是,v,151603,
不,d,147556,
味道,n,116984,
好吃,a,115023,
吃,v,109162,
还,d,103001,
送,v,101822,
不错,a,98703,
我,r,95190,
也,d,94073,
就,d,84311,
都,d,84077,
太,d,59842,
点,q,56071,
没,d,53001,
给,p,49735,
有,v,47103,
到,v,44582,
没有,v,43664,
非常,d,39434,
快,a,38554,
少,a,37845,
挺,d,35569,
来,v,31964,
新鲜,a,30694,
说,v,30602,
会,v,29786,
可以,v,29487,
多,m,27724,
还是,c,25784,
要,v,25098,
买,v,25091,
下次,t,25074,
和,c,24800,
啊,y,24664,
在,p,24496,
喜欢,v,24420,
特别,d,24327,
服务,vn,23633,
速度,n,22926,
大,a,22382,
赞,vg,22356,
东西,n,20659,
一个,m,20635,
量,n,20217,
态度,n,19897,
再,d,19842,
这,r,19837,
小,a,19820,
有点,d,19602,
辣,a,19438,
棒,a,19386,
吧,y,18859,
商家,n,18716,
配送,v,18712,
包装,vn,18692,
很快,d,18611,
人,n,17681,
但是,c,17663,
蛋糕,n,17543,
卖,v,17466,
送货,v,17239,
真的,d,16464,
家,q,16399,
足,a,16389,
满意,v,15934,
一般,a,15775,
慢,a,15668,
菜,n,15659,
难,a,15397,
餐,ng,15356,
外,f,15119,
又,d,14977,
能,v,14746,
感觉,n,14675,
放,v,14523,
得,ud,14303,
喝,vg,14168,
过,ug,13993,
超级,b,13744,
水果,n,13571,
以后,f,13547,
口味,n,13303,
小时,n,13159,
而且,c,13033,
比,p,12990,
一,m,12910,
真,d,12661,
这家,r,12502,
店,n,12476,
看,v,12367,
什么,r,12229,
分量,n,12172,
个,q,12107,
想,v,12106,
这么,r,12105,
最,d,12028,
肉,n,11931,
好评,n,11798,
一点,m,11780,
小哥,nw,11473,
知道,v,11429,
谢谢,v,11424,
差,a,11409,
着,uz,11252,
呢,y,11055,
才,d,11016,
快递,vn,10881,
上,f,10684,
辛苦,a,10653,
第一次,m,10649,
老板,n,10643,
今天,t,10624,
吗,y,10460,
做,v,10371,
饭,n,10351,
你,r,10317,
怎么,r,10314,
一直,d,10276,
只,d,10168,
这个,r,10067,
时间,n,9961,
里,f,9907,
甜,a,9759,
错,n,9691,
希望,v,9616,
鸡,n,9510,
其他,r,9453,
哦,e,9450,
一样,u,9441,
不过,c,9281,
汤,n,9252,
叫,v,9225,
下,f,9205,
订,v,9067,
这次,r,8876,
结果,n,8860,
但,c,8805,
让,v,8697,
啦,y,8664,
一份,m,8544,
备注,n,8493,
那么,r,8446,
去,v,8402,
钱,n,8355,
时候,n,8354,
里面,f,8354,
外卖,nw,8319,
骑手,n,8036,
花,v,7937,
还有,v,7829,
过来,v,7733,
虾,n,7705,
油,n,7651,
打电话,v,7615,
已经,d,7588,
准时,ad,7468,
晚,tg,7417,
比较,d,7412,
跟,p,7356,
粥,n,7352,
加,v,7335,
面,n,7309,
你们,r,7265,
用,p,7242,
咸,a,7230,
等,u,7198,
超,v,7187,
更,d,7133,
一次,m,7133,
价格,n,7068,
完,v,6956,
米饭,n,6934,
两个,m,6825,
电话,n,6786,
味,ng,6612,
感谢,v,6605,
自己,r,6564,
推荐,v,6543,
全,a,6528,
行,v,6469,
店家,n,6426,
拿,v,6410,
定,v,6336,
一如既往,i,6320,
够,v,6279,
不好,a,6253,
牛肉,n,6195,
热,a,6179,
实惠,a,6149,
把,p,6089,
差评,nw,6029,
干净,a,5950,
辣椒,n,5911,
份量,nz,5893,
这样,r,5884,
口感,n,5840,
漂亮,a,5772,
为什么,r,5670,
觉得,v,5654,
以前,f,5635,
真心,d,5608,
贵,a,5590,
香,a,5583,
老,a,5515,
单,d,5500,
爱,v,5440,
因为,c,5398,
冷,a,5385,
硬,a,5328,
凉,a,5297,
你家,r,5296,
榴莲,n,5219,
不要,d,5211,
奶茶,n,5204,
死,v,5153,
写,v,5145,
继续,v,5141,
筷子,n,5141,
及时,ad,5135,
一下,m,5104,
很多,m,5101,
师傅,n,5068,
出来,v,5033,
朋友,n,5008,
蛮,d,5005,
光顾,v,4982,
虽然,c,4945,
经常,d,4943,
他,r,4912,
像,v,4818,
失望,a,4778,
送达,v,4761,
打,v,4755,
换,v,4751,
食材,nw,4725,
算,v,4697,
炸,v,4592,
送来,v,4569,
.,m,4522,
每次,r,4496,
实在,d,4466,
鱼,n,4457,
坏,a,4423,
配送员,nw,4400,
起来,v,4362,
第二次,m,4341,
美味,n,4311,
腻,v,4307,
收到,v,4283,
应该,v,4254,
成,v,4221,
根本,a,4221,
干,v,4189,
不能,v,4164,
饮料,n,4145,
便宜,a,4143,
无,v,4117,
酸,n,4084,
那,r,4049,
之前,f,4024,
居然,d,3996,
他家,r,3987,
小哥,nr,3966,
披萨,nw,3963,
可能,v,3936,
呀,y,3928,
值得,v,3892,
美团,nw,3886,
图片,n,3879,
带,v,3835,
哈哈,o,3815,
就是,d,3724,
出,v,3717,
好好,d,3717,
中,f,3692,
完全,ad,3690,
炒,v,3687,
龙虾,n,3682,
豆腐,n,3678,
淡,a,3649,
后,f,3632,
卫生,an,3601,
奶油,n,3572,
芒果,n,3568,
直接,ad,3559,
店里,nw,3553,
对,p,3527,
现在,t,3527,
我们,r,3518,
烤,v,3476,
熟,a,3439,
掉,v,3412,
醉,v,3388,
评价,v,3366,
套餐,n,3362,
总体,n,3341,
土豆,n,3312,
大家,r,3272,
美,j,3271,
问题,n,3258,
盒子,n,3234,
高,a,3221,
鸭,ng,3209,
烂,a,3187,
质量,n,3182,
鸡蛋,n,3173,
开,v,3165,
购买,v,3163,
晚上,t,3138,
水,n,3136,
盐,n,3135,
所以,c,3116,
真是,d,3105,
如果,c,3094,
语,ng,3093,
好多,m,3093,
他们,r,3088,
简直,d,3078,
看到,v,3065,
好看,a,3044,
上次,t,3040,
建议,n,3034,
棒哒,nw,3020,
开心,a,3013,
次,q,2999,
被,p,2984,
可是,c,2983,
忘记,v,2956,
半,m,2937,
方便,a,2924,
容易,a,2924,
那个,r,2922,
精美,a,2918,
两份,m,2909,
包,v,2906,
找,v,2896,
久,a,2895,
别的,r,2888,
本来,d,2853,
手,n,2852,
餐具,n,2837,
芝士,nw,2834,
提前,v,2828,
优惠,vn,2825,
西瓜,n,2819,
菜品,nw,2815,
些,q,2774,
贴心,a,2771,
蛋,n,2770,
生意,n,2765,
漏,v,2749,
同事,n,2746,
注意,v,2723,
连,u,2720,
忘,v,2718,
赞赞,nw,2708,
话,n,2700,
啥,r,2681,
装,v,2661,
一起,s,2654,
块,q,2640,
卖家,n,2635,
竟然,d,2622,
顾客,n,2614,
最后,f,2606,
完美,a,2600,
长,a,2581,
生日,n,2576,
般,u,2568,
薯条,n,2566,
力,n,2565,
配,v,2564,
麻辣,z,2554,
饺子,n,2554,
扔,v,2553,
排,v,2529,
软,a,2525,
问,v,2497,
煮,v,2493,
哪,r,2481,
餐员,nw,2478,
天,q,2469,
发现,v,2466,
以为,v,2457,
草莓,n,2453,
酱,n,2449,
茶,n,2440,
好像,v,2438,
还行,nw,2437,
接,v,2436,
冰,n,2433,
明明,d,2431,
地址,n,2429,
微辣,nw,2424,
然后,c,2423,
只是,d,2420,
划算,a,2402,
正宗,b,2399,
远,a,2385,
订单,n,2382,
...,m,2378,
饱,a,2373,
从,p,2372,
可,v,2365,
除了,p,2359,
别,d,2351,
时,ng,2340,
联系,v,2335,
必须,d,2335,
醋,n,2329,
确实,ad,2314,
撒,v,2308,
难吃,a,2305,
没法,v,2278,
一半,m,2266,
选,v,2262,
蟹,ng,2262,
翅,ng,2257,
打开,v,2251,
却,d,2245,
饿,v,2243,
份,q,2240,
嘛,y,2240,
粉丝,n,2220,
越来越,d,2217,
想到,v,2216,
货,n,2199,
这种,r,2171,
还要,v,2165,
稍微,d,2152,
一定,d,2149,
地,uv,2142,
满,a,2139,
汉堡,ns,2130,
可乐,n,2127,
用心,n,2126,
食物,n,2121,
来说,u,2118,
个人,n,2113,
只能,v,2110,
要求,v,2107,
回,v,2101,
退,v,2101,
一家,m,2098,
有些,r,2095,
粉,n,2074,
预计,v,2067,
恶心,a,2067,
好几次,m,2062,
～～,nw,2052,
弄,v,2047,
头发,n,2047,
值,n,2041,
重,a,2040,
蔬菜,n,2032,
鸡排,nw,2028,
麻辣烫,n,2028,
绝对,d,2024,
改进,v,2007,
么,y,2004,
刚,d,1988,
也好,y,1985,
肚子,n,1985,
快递员,nw,1981,
搞,v,1980,
米线,nw,1964,
年糕,n,1963,
昨天,t,1963,
黑,a,1951,
物美价廉,l,1947,
再也,d,1946,
两次,m,1937,
串,v,1935,
下雨天,n,1923,
性价,nw,1922,
不如,v,1918,
鸡肉,n,1902,
袋子,n,1898,
洒,v,1896,
太咸,nr,1893,
奶,n,1889,
烫,v,1888,
棒棒,nw,1880,
帮,v,1880,
理解,v,1851,
羊肉,n,1849,
小龙,nw,1849,
饼,n,1842,
沟通,v,1836,
皮,n,1830,
料,n,1821,
发,v,1816,
坑,n,1816,
敢,v,1815,
外面,f,1813,
猪,n,1812,
超赞,nw,1806,
上面,f,1801,
一些,m,1799,
牛蛙,n,1799,
一口,m,1799,
很多次,m,1798,
良心,n,1796,
三个,m,1796,
选择,v,1795,
脆,a,1790,
补,v,1782,
不行,a,1774,
早,a,1759,
下去,v,1756,
谁,r,1756,
半个,m,1755,
勺子,n,1747,
评论,n,1745,
不够,a,1741,
走,v,1732,
腿,n,1729,
每,r,1718,
客户,n,1707,
需要,v,1705,
变,v,1702,
生,v,1696,
一盒,m,1689,
尤其,d,1685,
品质,n,1685,
几个,m,1679,
开始,v,1678,
两,m,1673,
香蕉,n,1667,
地方,n,1665,
下单,nw,1664,
全部,m,1662,
特意,d,1658,
切,v,1655,
包子,n,1654,
点赞,nw,1653,
为,p,1650,
沙拉,n,1646,
请,v,1636,
支持,v,1635,
一块,m,1633,
发票,n,1633,
拉,v,1624,
星,n,1624,
鲜,a,1613,
馄饨,n,1611,
正,d,1609,
呵呵,nw,1605,
烧烤,vn,1604,
活动,vn,1602,
精致,a,1601,
几次,m,1597,
孩子,n,1594,
米粉,n,1585,
想象,v,1584,
多少,r,1581,
热情,a,1578,
五星,b,1578,
积分,n,1575,
入味,v,1570,
要是,c,1565,
下午,t,1564,
事,n,1553,
那种,r,1551,
字,n,1550,
一杯,m,1545,
卷,q,1545,
估计,v,1540,
主要,b,1535,
都凉,nr,1525,
一根,m,1524,
之后,f,1520,
哎,e,1518,
确认,v,1517,
皮蛋,n,1512,
咖啡,n,1508,
周到,a,1507,
礼貌,an,1500,
后来,t,1494,
另外,c,1493,
见,v,1491,
牛,n,1490,
相当,d,1488,
多点,m,1486,
烧,v,1485,
楼,n,1480,
基本,a,1478,
一个多,m,1478,
一股,m,1472,
拌,v,1462,
到位,v,1462,
整体,n,1456,
面包,n,1454,
糖,n,1449,
重要,a,1448,
坨,q,1447,
极了,u,1447,
变成,v,1446,
原因,n,1446,
只有,c,1441,
心,n,1439,
臭,a,1438,
浪费,v,1431,
们,k,1425,
鱿鱼,n,1416,
前,f,1415,
惊喜,a,1413,
鸡翅,n,1405,
图,n,1402,
多次,m,1395,
偏,a,1393,
千层,m,1386,
告诉,v,1382,
天气,n,1381,
咬,v,1380,
珍珠,n,1377,
减,v,1372,
退款,v,1361,
炒饭,n,1359,
并,c,1357,
保持,v,1356,
总之,c,1354,
下雨,v,1348,
保温,a,1348,
别人,r,1348,
新,a,1348,
三,m,1347,
菜量,nw,1347,
越,d,1346,
咋,r,1345,
奶盖,nw,1343,
一点点,nw,1343,
唯一,b,1338,
吸管,n,1332,
适合,v,1329,
鲜花,n,1327,
糊,a,1326,
大哥,n,1326,
与,p,1322,
抓,v,1316,
锅,n,1314,
送货员,n,1312,
酸菜,n,1299,
苦,a,1290,
跑,v,1288,
收,v,1287,
麻烦,an,1285,
韭菜,n,1281,
碗,q,1281,
可惜,v,1271,
感动,v,1267,
汁,ng,1266,
心情,n,1265,
情况,n,1264,
其它,r,1263,
嫩,a,1261,
其实,d,1261,
片,q,1260,
负责,v,1258,
哈哈哈,o,1258,
泡,v,1256,
浓,a,1254,
过去,t,1250,
骑士,n,1247,
明显,a,1245,
给力,nw,1245,
差不多,l,1240,
海鲜,n,1238,
玉米,n,1234,
细心,a,1226,
派,v,1222,
辣味,n,1219,
十分,d,1217,
先,d,1214,
几乎,d,1214,
丝,q,1212,
一个半,m,1208,
哈,j,1207,
关键,n,1206,
可怜,a,1205,
肯定,v,1201,
米,q,1201,
泡菜,n,1201,
好多次,m,1199,
当,p,1198,
而,c,1196,
哪里,r,1192,
招牌,n,1192,
她,r,1188,
认真,ad,1187,
影响,vn,1183,
人员,n,1181,
分,q,1179,
祝,v,1176,
番茄酱,n,1175,
近,a,1173,
2个,m,1169,
订餐,v,1168,
不怎么,l,1167,
苹果,n,1165,
番茄,n,1162,
已,d,1159,
样子,n,1156,
客服,nw,1155,
调料,n,1155,
油条,n,1153,
夹,v,1150,
不好意思,a,1144,
面条,n,1144,
原来,d,1144,
有的,r,1141,
略,d,1137,
您,r,1137,
果,ng,1135,
商品,n,1127,
双,m,1122,
倒,v,1121,
海带,n,1121,
黄瓜,n,1120,
中午,t,1118,
分开,v,1113,
青菜,n,1111,
巧克力,n,1109,
满分,n,1109,
照片,n,1107,
寿司,nr,1105,
上海,ns,1104,
满足,v,1103,
手套,n,1102,
小菜,n,1099,
鲜美,a,1098,
