id,deliverTime,distance,idshop,minDeliverFee,minFee,mtWmPoiId,name,shopOpenStatus,sold,star
1,30,0,2938852,5.0,20.0,378798,面香八方（双清路店）,0,275,46
2,35,0,8817471,4.0,15.0,1759644,炫肚ing·沁锅涮串(原芳誉斋),0,16,0
3,37,0,68062782,3.0,0.0,1383132,山城渝味,0,464,46
4,40,0,16458740,45.0,99.0,2272645,平价超市（木樨园店）,0,6,0
5,30,0,66701337,5.0,20.0,1009834,小渝府快餐（志新路店）,0,170,46
6,56,0,90960293,30.0,128.0,2188956,鲜果多(鲜切水果超市),0,23,0
7,66,0,27489486,30.0,300.0,612173,虾元素品质川菜（机场店）,0,535,47
8,50,0,76836306,40.0,0.0,1907283,惠民水果超市,0,152,45
9,50,0,72338357,23.0,30.0,1720639,哈哈镜水果超市（新街口店）,0,121,46
10,36,0,79623778,3.0,0.0,2054880,广东炒粉,0,838,48
11,56,0,5540043,60.0,39.0,2161670,稻香村（新发地店）,0,18,0
12,39,0,80620385,8.0,0.0,2089019,不二煎饼（牡丹园店）,0,1016,45
13,56,0,68169954,0.0,0.0,1414014,品酒品红酒旗舰店,0,69,50
14,39,0,20781250,5.0,0.0,140847,一锅香过桥米线,0,177,46
15,38,0,22414383,7.0,0.0,806064,江西瓦罐汤,0,807,44
16,41,0,81756562,7.0,20.0,2105419,杭州小笼包(中关村店),0,639,43
17,35,0,57161449,3.0,0.0,431147,加饭PlusFun(清华店),0,1159,47
18,40,0,66760361,25.0,200.0,1009812,红酒坊,0,14,0
19,96,0,76943762,5.0,50.0,13162,好多果果,0,29,48
20,60,0,23190531,30.0,0.0,966991,徐婷鲜花店,0,0,0
21,60,0,75158104,0.0,0.0,1846140,花为美鲜花（花儿陪你）,0,0,0
22,32,0,79623963,3.0,20.0,2054908,韩国料理故乡菜包肉,1,114,46
23,56,0,26208631,10.0,118.0,424765,猫蒲夜宴（西城店）,1,0,0
24,56,0,76081954,14.0,30.0,1885247,黍离农场,1,1,0
25,73,0,57481228,0.0,0.0,810473,伊诺鲜花馆,0,98,50
26,60,0,73429509,0.0,0.0,1709201,丽芝阳光鲜花坊,0,12,0
27,44,0,18283661,8.0,48.0,1889637,星巴克咖啡（一店）,0,1958,49
28,44,0,27305762,8.0,48.0,1889636,星巴克咖啡（二店）,0,3614,49
29,65,0,66083988,16.0,50.0,914484,CFB炸鸡啤酒,0,144,48
30,45,0,66565335,8.0,48.0,1889635,星巴克咖啡（三店）,0,1625,49
31,39,0,82259479,3.0,0.0,2115211,美食美客砂锅土豆粉,0,153,40
32,56,0,58685726,25.0,0.0,757522,海鲜兄弟美食汇,0,23,45
33,56,0,66648795,36.0,30.0,1002135,饭好吃,0,30,0
34,40,0,76676031,40.0,0.0,2123007,小龚香磨五谷膳食坊,0,0,0
35,82,0,79562608,0.0,0.0,2043195,彩虹坊蛋糕,0,141,45
36,78,0,72461821,25.0,78.0,1729322,辣天下烤鱼麻辣香锅外卖,0,63,44
37,33,0,2056255,5.0,15.0,546070,梅子日本料理（清华店）,0,800,47
38,96,0,69795252,20.0,80.0,1625248,鲜蛙馆（中关村店）,0,217,47
39,37,0,58198003,3.0,20.0,734698,小嘿冒菜（五道口店）,0,1277,47
40,30,0,2471557,5.0,20.0,290316,一品三笑（五道口店）,0,2017,48
41,56,0,79675161,0.0,0.0,2062560,维尼斯蛋糕（方庄店）,0,64,48
42,56,0,3641590,80.0,24.0,2379365,颐春堂（青年路店）,0,0,0
43,40,0,79437595,3.0,20.0,2024022,百货超市,1,3,0
44,47,0,67227618,6.0,20.0,1534316,胖哥俩肉蟹煲(北京五道口店),1,568,47
45,112,0,79705038,12.0,138.0,2066123,美味水果千层蛋糕,1,96,47
46,55,0,77000447,3.0,0.0,1946086,么么哒超市（水果切）,1,0,0
47,56,0,48391060,19.0,120.0,612144,壹瞳cake榴莲千层蛋糕,1,5,0
48,30,0,90955638,3.0,0.0,2379375,山西刀削面,1,92,42
