origin,destination,count
66596956,7315094,14
66596956,19164707,18
66596956,24029703,15
66596956,27350042,12
66596956,69735309,11
66596956,75089511,11
66596956,76383406,17
66596956,77275843,10
38089288,508995,10
38089288,511042,19
38089288,585183,12
38089288,2037022,12
38089288,2281906,12
38089288,2384866,9
38089288,2971285,10
38089288,3490447,10
38089288,5397106,9
38089288,9044082,9
38089288,18494821,10
38089288,19568393,14
38089288,21959977,25
38089288,22376293,9
38089288,23684296,13
38089288,69203847,11
38089288,73414401,10
38089288,75173661,12
74569071,5356369,11
74569071,5451108,9
74569071,6047711,9
74569071,8988699,9
74569071,17628209,9
74569071,23612386,20
74569071,35930098,10
18283661,27305762,10
18283661,66565335,16
27305762,18283661,10
27305762,66565335,10
66565335,5588548,10
66565335,18283661,16
66565335,27305762,10
75022585,79435368,13
58685726,45402421,30
58685726,67152499,10
58685726,67243637,15
25042206,6526138,14
25042206,43560701,16
25042206,45409775,10
25042206,65685667,14
67773892,5451108,9
67773892,27474822,15
67773892,33505234,9
67773892,59424753,9
67773892,69797642,10
67773892,82244364,9
90088173,5451108,9
5142838,512579,9
5142838,2005261,16
5142838,2547121,12
5142838,3131344,9
5142838,3331159,13
5142838,3543058,12
5142838,6020566,13
5142838,9073131,13
5142838,15130972,9
5142838,18020781,10
5142838,19222361,10
5142838,21284512,15
5142838,21993091,9
5142838,45464662,12
5142838,48008191,10
5142838,73414401,9
18020781,512017,10
18020781,513758,10
18020781,2654032,13
18020781,2666680,13
18020781,3331159,12
18020781,5142838,10
18020781,6020566,11
18020781,6021814,12
18020781,16828462,9
18020781,23612386,9
18020781,35930098,9
18020781,45464662,12
18020781,48007968,13
18020781,48073072,9
18020781,58353947,23
70426517,510278,9
70426517,512579,9
70426517,1944889,14
70426517,2003104,10
70426517,2274088,12
70426517,2400406,11
70426517,2585788,9
70426517,2678710,9
70426517,2749942,10
70426517,3304546,13
70426517,5451108,11
70426517,5616861,10
70426517,8074790,11
70426517,8968906,10
70426517,12594495,9
70426517,16988545,12
70426517,18768923,15
70426517,20968030,14
70426517,21949591,10
70426517,23223824,12
70426517,45404917,10
70426517,48011181,13
70426517,58223978,11
70426517,67496973,10
70426517,67731779,13
70426517,68190129,9
70426517,69797642,9
512017,509084,19
512017,513758,11
512017,1947109,9
512017,2666680,14
512017,3131344,16
512017,3543058,12
512017,18020781,10
512017,19157875,9
512017,23612386,9
512017,35930098,11
512017,45342618,20
512017,45464662,12
512017,48073072,11
512017,73414401,10
508326,2005261,16
66154002,57426036,9
1884214,510278,10
1884214,511764,9
1884214,512716,9
1884214,1944889,14
1884214,2477131,9
1884214,3167710,11
1884214,3490447,10
1884214,69129072,9
22980860,27236473,9
2037022,1895722,19
2037022,14742979,11
2037022,38089288,12
2037022,74466842,9
2037022,82879653,11
18498990,513053,9
18498990,2281906,30
18498990,3490447,11
18498990,3556948,9
18498990,18494821,9
18498990,18768923,9
18498990,20697180,15
18498990,21959977,22
18498990,22376293,27
18498990,58041870,9
18498990,65559698,12
18498990,67496973,10
18498990,67506454,13
18498990,69203847,23
18498990,73396352,9
1895722,2037022,19
1895722,3367756,9
1895722,5579945,9
1895722,15131638,10
1895722,65715688,9
1895722,74466842,11
2547121,512579,10
2547121,513758,11
2547121,5142838,12
2547121,5616861,10
2547121,5724122,9
2547121,6840284,11
2547121,9073131,15
2547121,16832750,9
2547121,18280058,9
2547121,21993091,14
2547121,23223824,9
2547121,45464662,10
2547121,48008191,12
2547121,48011181,11
2547121,57394803,10
2547121,59441452,9
2547121,66340319,13
2547121,67124168,10
3056221,510278,9
3056221,512579,13
3056221,2274049,23
3056221,2377600,11
3056221,2398612,22
3056221,3304546,9
3056221,3690208,16
3056221,5616861,11
3056221,7992674,20
3056221,8291516,9
3056221,12594495,13
3056221,16988545,19
3056221,17160241,11
3056221,18280058,15
3056221,19122301,10
3056221,23223824,13
3056221,23974878,11
3056221,27727752,16
3056221,58223978,15
3056221,59441452,10
3056221,69572326,10
3056221,75201023,9
58738167,2274049,10
58738167,2377600,13
58738167,2398612,12
58738167,16988545,10
58738167,17160241,9
58738167,19011214,12
58738167,19122301,9
58738167,27727752,9
58738167,37491989,10
58738167,67435654,10
3304546,511042,9
3304546,1916689,9
3304546,2274088,11
3304546,2400406,11
3304546,2585788,10
3304546,2749942,9
3304546,3056221,9
3304546,5397106,11
3304546,5441506,11
3304546,5616861,24
3304546,8074790,11
3304546,16988545,15
3304546,18768923,12
3304546,19122301,11
3304546,20968030,10
3304546,21949591,11
3304546,23223824,17
3304546,27727752,10
3304546,58223978,9
3304546,67420602,10
3304546,67496973,9
3304546,67624497,13
3304546,69572326,15
3304546,70426517,13
15088944,2003104,10
15088944,2688802,9
15088944,5397106,15
15088944,19122301,10
15088944,67624497,10
15088944,67731779,9
11576492,508995,10
11576492,516112,16
11576492,585183,14
11576492,2281906,9
11576492,2384866,14
11576492,5530086,13
11576492,8988699,14
11576492,21918836,13
11576492,73396352,12
11576492,73414401,9
11576492,74466842,11
66277062,75812022,9
69691581,516103,13
69691581,2379367,9
69691581,4117988,9
69691581,18673674,10
69691581,23365518,9
69691581,24029703,15
69691581,66467642,9
69205811,50557275,9
69205811,57567064,9
2683591,3679093,9
2683591,48011181,12
17628209,574191,10
17628209,2666680,14
17628209,5356369,9
17628209,8112884,9
17628209,8988699,11
17628209,73414401,12
17628209,74569071,9
66151745,67296986,14
90010071,21935113,13
90010071,65634778,12
90010071,76353280,12
67903235,512716,9
67903235,2281906,10
67903235,2749942,19
67903235,5579945,9
67903235,8968906,10
67903235,21959977,15
67903235,24528652,9
67903235,35937614,9
67903235,48011181,9
67903235,67496973,9
67903235,67647906,19
67903235,67731779,9
67903235,68223712,9
67903235,73396352,9
512237,510278,12
512237,511764,12
512237,2477131,10
512237,2585788,13
512237,2774815,13
512237,5581169,9
512237,8924541,13
512237,8968906,9
512237,21949591,9
512237,48008191,11
512237,48011181,13
512237,59441452,12
512237,67124168,14
76939016,68044920,12
72351328,509084,14
72351328,2085004,10
72351328,2666680,16
72351328,3331159,13
72351328,3490447,9
72351328,3543058,11
72351328,4221170,9
72351328,5724122,9
72351328,6020566,13
72351328,15094130,10
72351328,15130972,11
72351328,16832750,10
72351328,21284512,11
72351328,21993091,9
72351328,23122494,9
72351328,23432121,9
72351328,45342618,12
72351328,48073072,9
72351328,58353947,11
72351328,65711655,9
72351328,69557110,17
72351328,69763970,10
72351328,73414401,16
72351328,77312244,9
72351328,79258615,13
8968906,510278,11
8968906,511042,12
8968906,511764,12
8968906,512237,9
8968906,512939,11
8968906,1916689,11
8968906,1944889,9
8968906,2003104,13
8968906,2585788,11
8968906,2678710,13
8968906,2688802,13
8968906,2792020,11
8968906,3167710,9
8968906,5616861,11
8968906,6047711,10
8968906,18768923,10
8968906,19011214,9
8968906,35937614,11
8968906,45404917,10
8968906,48011181,10
8968906,48654732,15
8968906,58353947,10
8968906,67420602,16
8968906,67496973,14
8968906,67731779,21
8968906,67903235,10
8968906,70426517,10
511566,73414401,9
510278,512237,12
510278,512716,10
510278,1884214,10
510278,1916689,9
510278,2003104,11
510278,2477131,10
510278,2490793,14
510278,2585788,13
510278,2678710,11
510278,2688802,9
510278,2774815,15
510278,2792020,13
510278,3056221,9
510278,3167710,10
510278,4189642,9
510278,8968906,11
510278,12594495,9
510278,16988545,15
510278,20932385,13
510278,23223824,10
510278,37491989,12
510278,48011181,12
510278,57394803,11
510278,58223978,11
510278,66340319,10
510278,67124168,17
510278,67496973,11
510278,70426517,9
510278,75201023,9
9044082,512399,9
