origin,destination,count
10330755,67731529,10
10330755,67790988,11
10332056,66375821,11
10334954,25034529,9
13664014,32675811,12
13664014,513712,9
13664014,67405206,18
13664014,69952286,31
13818394,75675352,11
13854188,5306282,11
13885239,21968140,9
14727694,2404204,9
14740147,32565422,12
14740147,67311683,14
14922496,18216362,18
14922496,43560701,9
14922496,6526138,10
15180187,76836306,10
15992876,1754941,12
15992876,17887879,15
15992876,2416345,14
15992876,2660929,12
15992876,2900014,11
15992876,5284183,16
15992876,6112313,9
16970509,2253889,12
16970509,59880422,15
16983185,18025909,12
16983185,50516983,12
16983185,58198003,9
16985157,69341460,12
17105567,69087747,10
17233383,2339536,10
17233383,24649498,11
17233383,58198003,14
1754941,15992876,12
1754941,17850191,14
1754941,23365518,16
1754941,45329931,9
1754941,516103,13
1754941,5284183,16
1754941,69815615,9
17726841,19221001,10
17726841,2339536,10
17726841,2900014,12
17726841,57475398,9
17726841,58198003,9
17726841,65712689,9
17737795,514404,12
17812756,18673674,12
17812756,21379842,9
17812756,2404204,12
17812756,3101473,9
17812756,514404,9
17812756,5436342,14
17812756,56569601,9
17812756,6112313,18
17812756,65504764,9
17812756,67616965,21
17812756,68164162,14
17812756,69510868,15
17812756,69843984,9
17812756,8988572,10
17850191,1754941,14
17850191,23365518,10
17850191,4117988,10
17850191,516103,9
17887879,15992876,15
17887879,2416345,9
17887879,2660929,12
17887879,2899978,9
17887879,2900014,12
17887879,4282712,11
17887879,4684388,10
17887879,69815615,9
18025909,16983185,12
18025909,19221001,11
18025909,22276735,9
18025909,23099282,13
18025909,56569601,10
18025909,69087720,14
18039986,69419758,9
18105494,23355879,21
18216362,14922496,18
18216362,6526138,9
18434371,27489486,15
18673674,17812756,12
18673674,2404204,9
18673674,25034529,9
18673674,516103,18
18673674,6112313,11
18673674,67616965,14
18673674,69691581,10
18673674,75110565,9
19107806,23183794,13
19107806,66731457,11
19107806,67731529,9
19107806,68184085,13
19119447,22985353,14
19119447,4076134,11
19221001,17726841,10
19221001,18025909,11
19221001,58670973,10
19222777,27152345,9
19224985,2339536,10
19224985,69894203,9
1948114,2938852,9
2056255,4504628,10
2056255,514404,30
2056255,516103,9
2056255,58198003,10
2056255,67328901,12
20707107,58198003,10
20781250,23632610,11
20852950,58677804,9
21039073,90398645,17
21107781,68184085,11
21142290,2938852,10
21289179,48011722,24
21289179,59432772,11
21289179,67243637,9
21379842,17812756,9
21379842,23099282,10
21379842,67616965,13
21819731,24649498,9
21819731,25034529,9
21819731,2900014,10
21819731,4233334,12
21819731,514404,12
21819731,56569601,10
21819731,58198003,14
21819731,5928428,9
21819731,5989921,9
21819731,67255663,12
21909401,23632610,16
21909401,59115286,9
21968140,13885239,9
21968140,58774651,22
21973145,69562621,9
22276735,18025909,9
22276735,32774211,15
2242231,67328901,9
2242231,69087720,11
2253889,16970509,12
2253889,2404204,9
2253889,3157528,13
2253889,4504628,11
2253889,57477733,11
2253889,58207001,11
2253889,59880422,22
2253889,6040805,12
2253889,67328901,9
2253889,67616965,10
2253889,90063338,9
22594842,67616965,9
22975123,66388888,10
22985353,19119447,14
22985353,4076134,17
23099282,18025909,13
23099282,21379842,10
23099282,25034529,9
23099282,56569601,13
23099282,66104309,11
23099282,76943762,11
23115510,68173953,10
23115510,79615258,9
23183794,19107806,13
23183794,3101473,12
23183794,3195202,16
23183794,4233334,13
23183794,5928428,24
23183794,68074685,9
23201528,69843608,10
23355879,18105494,21
23365518,1754941,16
23365518,17850191,10
23365518,45329931,10
23365518,69691581,9
2339536,17233383,10
2339536,17726841,10
2339536,19224985,10
2339536,24649498,14
2339536,65712689,10
2339536,69510868,9
23495578,57447829,12
23593306,67255663,9
23632610,20781250,11
23632610,21909401,16
2379367,516103,20
2379367,67616965,11
2379367,69691581,9
23892362,36912008,12
24006427,4076134,9
24029703,27350042,9
24029703,69691581,15
24029703,70505240,11
24029703,7315094,10
24029703,75089511,13
24029703,76383406,17
24031302,32549656,11
2404162,5306282,14
2404162,67616965,11
2404204,14727694,9
2404204,17812756,12
2404204,18673674,9
2404204,2253889,9
2404204,4504628,9
2404204,516103,13
2404204,5306282,9
2404204,5436342,10
2404204,56569601,9
2404204,56867494,9
2404204,6112313,13
2404204,66274137,9
2404204,67616965,19
2404204,68164162,14
2404204,8988572,14
2404204,90063338,9
2404300,2416345,9
2404300,2900014,9
2404300,2938852,9
2404300,3195202,9
2404300,32565422,10
2404300,4233334,9
2404300,514404,15
2404300,58198003,9
2410459,2660929,10
2410459,45469047,11
2410459,48010354,14
2410459,5311691,14
2410459,66571319,9
2410459,69027105,10
2416345,15992876,14
2416345,17887879,9
2416345,2404300,9
2416345,2900014,9
2416345,512619,12
24346404,27473357,10
2445046,511142,34
2445046,5239674,25
24649498,17233383,11
24649498,21819731,9
24649498,2339536,14
24649498,5499610,20
24649498,67174801,11
24654040,36912008,11
24654040,5597966,23
25034529,10334954,9
25034529,18673674,9
25034529,21819731,9
25034529,23099282,9
25034529,40283174,10
25034529,516103,11
25034529,6112313,9
25034529,67616965,13
25042206,43560701,16
25042206,45409775,10
25042206,6526138,14
25042206,65685667,14
25054648,59115286,9
25054648,66731457,9
25054648,67174801,14
25054648,67255663,11
25054648,68074685,9
2524246,4117988,10
2524246,5284183,14
2524246,6112313,9
26208631,70446815,16
26233438,2938852,10
26233438,4233334,12
26233438,5284183,12
26233438,58198003,10
26233438,68074685,13
26233438,68184085,13
2660929,15992876,12
2660929,17887879,12
2660929,2410459,10
2660929,2899978,15
2660929,2900014,9
2660929,4282712,12
2660929,4684388,9
2660929,6040805,11
27000006,66375821,10
27152345,19222777,9
27152345,81756562,9
27161142,48684547,14
27161142,58744072,15
27289045,58198003,10
27289045,65504764,9
27350042,24029703,9
27350042,69735309,13
27350042,7315094,11
27350042,76383406,26
27350042,77275843,10
27473357,24346404,10
27473357,67402727,9
27489486,18434371,15
2899978,17887879,9
2899978,2660929,15
2900014,15992876,11
2900014,17726841,12
2900014,17887879,12
2900014,21819731,10
2900014,2404300,9
2900014,2416345,9
2900014,2660929,9
2900014,2938852,10
2900014,4233334,11
2900014,514404,14
2900014,5284183,15
2900014,5436342,9
2900014,5989921,12
2900014,66274137,12
2900014,8819555,10
2938852,1948114,9
2938852,21142290,10
2938852,2404300,9
2938852,26233438,10
2938852,2900014,10
2938852,58198003,9
2938852,5989921,12
3101473,17812756,9
3101473,23183794,12
3101473,5928428,9
3101473,66731457,11
3101473,67255663,12
3101473,69894203,9
3101473,73391928,9
3157528,2253889,13
3157528,4504628,10
3157528,514404,9
3157528,5306282,12
3157528,59880422,10
3157528,67328901,22
3157528,67731529,9
3157528,69181394,10
3195202,23183794,16
3195202,2404300,9
3195202,512619,11
3195202,5928428,11
3195202,68184085,14
32549656,24031302,11
32565422,14740147,12
32565422,2404300,10
32565422,58670973,9
32565422,66325573,12
32565422,69419758,9
32565422,8819555,12
32666263,67558962,12
32675811,13664014,12
32675811,69711945,18
32738585,69735309,9
32738585,7315094,12
32738585,76383406,13
32774211,22276735,15
32774211,5597966,9
33522078,69087747,10
3668452,66083988,11
3668452,66104309,14
3668452,66571319,12
3668452,67868497,9
36912008,23892362,12
36912008,24654040,11
36912008,5928428,14
36912008,67790988,16
38084577,76383406,10
38108752,75149549,10
38206335,51628524,10
38322451,58786706,16
39641424,58670973,13
39641424,65712689,10
39641424,66325573,11
39641424,67255663,12
39641424,67731529,10
39928597,76271140,10
40283174,25034529,10
40283174,56569601,9
40283174,67616965,10
4076134,19119447,11
4076134,22985353,17
4076134,24006427,9
4117988,17850191,10
4117988,2524246,10
4117988,514404,9
4117988,58207001,10
4117988,65712689,9
4117988,69691581,9
4117988,90965180,17
4233334,21819731,12
4233334,23183794,13
4233334,2404300,9
4233334,26233438,12
4233334,2900014,11
4233334,5928428,18
4233334,5989921,9
4233334,65712689,10
4233334,66050831,15
4233334,69419758,11
4282712,17887879,11
4282712,2660929,12
4282712,6040805,9
43560701,14922496,9
43560701,25042206,16
43560701,45409775,11
43560701,56833601,10
43560701,6526138,10
43561400,5540268,9
43561400,57177871,15
4504628,2056255,10
4504628,2253889,11
4504628,2404204,9
4504628,3157528,10
4504628,511694,13
4504628,5306282,17
4504628,57477733,12
4504628,58207001,12
4504628,59880422,9
4504628,67328901,12
4504628,67616965,18
4504628,68184085,9
4504628,69087720,11
4504628,69815615,14
45301812,77281906,15
45329931,1754941,9
45329931,23365518,10
45343048,58183640,9
45402421,58685726,30
45402421,67243637,13
45409775,25042206,10
45409775,43560701,11
45409775,6526138,12
45409775,74597694,9
45469047,2410459,11
4684388,17887879,10
4684388,2660929,9
4684388,514404,9
4684388,516103,10
4684388,5284183,9
48007845,58744072,10
48007845,68164456,12
48010354,2410459,14
48010354,66571319,17
48010354,69702918,11
48011722,21289179,24
48162367,59729580,9
48162367,67265281,23
48162367,83611892,15
48391060,69261275,23
48578239,66300424,13
48578239,66695764,11
48684547,27161142,14
48684547,58744072,13
50516983,16983185,12
50581176,67227774,17
50581176,69226280,10
511142,2445046,34
511142,5239674,11
511694,4504628,13
511694,514404,9
511694,516103,11
511694,67328901,9
512619,2416345,12
512619,3195202,11
512619,514404,11
512619,5989921,11
512916,565909,11
513255,513258,15
513258,513255,15
513406,66571319,11
513712,13664014,9
513712,5239674,10
513712,68062571,18
513712,72464334,13
514404,17737795,12
514404,17812756,9
514404,2056255,30
514404,21819731,12
514404,2404300,15
514404,2900014,14
514404,3157528,9
514404,4117988,9
514404,4684388,9
514404,511694,9
514404,512619,11
514404,5436342,13
514404,57477733,9
514404,58198003,10
514404,5989921,11
514404,6112313,12
514404,65504764,9
514404,67328901,18
514404,69510868,11
514404,8819555,15
514404,8988572,11
516103,1754941,13
516103,17850191,9
516103,18673674,18
516103,2056255,9
516103,2379367,20
516103,2404204,13
516103,25034529,11
516103,4684388,10
516103,511694,11
